d;x;y;z;z_lisse;pente;x_prime_lisse;y_prime_lisse;x_seconde_lisse;y_seconde_lisse;courbure
1260;298.68;381.8;3.49;3.49;1.3;0.979166667;-0.195;0.000584416;0.000714286;0.000817295
1261;299.66;381.6;3.5;3.50;2.4;0.985833333;-0.195;-0.000995671;-0.000714286;-0.000885156
1262;300.65;381.41;3.52;3.54;4.9;0.985833333;-0.194166667;-0.002943723;-0.006428571;-0.006811086
1263;301.63;381.21;3.61;3.59;5.3;0.980833333;-0.1975;-0.004480519;-0.01547619;-0.016039431
1264;302.61;381.01;3.64;3.64;3.4;0.97;-0.216666667;-0.00508658;-0.022142857;-0.02299873
1265;303.57;380.77;3.66;3.66;2.2;0.958333333;-0.263333333;-0.004502165;-0.020952381;-0.02166184
1266;304.53;380.49;3.69;3.69;2.5;0.96;-0.283333333;-0.002727273;-0.014285714;-0.014446303
1267;305.49;380.21;3.71;3.71;2.6;0.96;-0.28;-0.001212121;-0.004761905;-0.004910823
1268;306.45;379.93;3.74;3.74;2.3;0.96;-0.28;0;1.08273E-14;1.03942E-14
1269;307.41;379.65;3.76;3.76;1.6;0.96;-0.28;-3.93721E-15;-5.41366E-15;-6.29953E-15
1270;308.37;379.37;3.77;3.77;1.0;0.96;-0.28;0;5.41366E-15;5.19711E-15
1271;309.33;379.09;3.78;3.78;0.8;0.96;-0.28;0;-1.08273E-14;-1.03942E-14
1272;310.29;378.81;3.79;3.79;1.3;0.96;-0.28;3.93721E-15;1.08273E-14;1.14966E-14
1273;311.25;378.53;3.8;3.81;2.5;0.96;-0.28;0;1.08273E-14;1.03942E-14
1274;312.21;378.25;3.84;3.84;3.7;0.96;-0.28;0;0;0
1275;313.17;377.97;3.88;3.88;4.1;0.96;-0.28;0;-1.08273E-14;-1.03942E-14
1276;314.13;377.69;3.92;3.92;4.0;0.96;-0.28;-0.001212121;-1.08273E-14;-0.000339394
1277;315.09;377.41;3.96;3.96;4.0;0.96;-0.28;-0.003333333;-0.00952381;-0.01007619
1278;316.05;377.13;4;4.00;4.0;0.961666667;-0.273333333;-0.00525974;-0.020238095;-0.020915213
1279;317.01;376.85;4.04;4.04;4.0;0.950833333;-0.319166667;-0.006883117;-0.025238095;-0.025961974
1280;317.95;376.49;4.08;4.08;4.0;0.933333333;-0.371666667;-0.006818182;-0.021904762;-0.022663449
1281;318.88;376.12;4.12;4.12;4.0;0.93;-0.370833333;-0.00525974;-0.011904762;-0.01297484
1282;319.81;375.75;4.16;4.16;4.1;0.924166667;-0.37;-0.002792208;-0.001190476;-0.002162495
1283;320.73;375.38;4.2;4.20;4.5;0.924166667;-0.37;-0.00038961;-0.001190476;-0.001261375
1284;321.66;375.01;4.25;4.25;4.9;0.930833333;-0.369166667;0.000584416;-0.001190476;-0.00088874
1285;322.59;374.64;4.3;4.30;5.0;0.93;-0.375833333;0.000151515;-0.00047619;-0.000382379
1286;323.52;374.26;4.35;4.35;5.0;0.93;-0.375833333;-0.000151515;0.00047619;0.000382379
1287;324.45;373.89;4.4;4.40;5.0;0.930833333;-0.369166667;-0.000584416;0.001190476;0.00088874
1288;325.38;373.52;4.45;4.45;5.0;0.924166667;-0.37;-0.00021645;0.001190476;0.001034065
1289;326.3;373.15;4.5;4.50;5.0;0.924166667;-0.37;-0.002207792;-0.001190476;-0.001943303
1290;327.23;372.78;4.55;4.55;5.0;0.930833333;-0.369166667;-0.00487013;-0.011904762;-0.012826587
1291;328.16;372.41;4.6;4.60;4.9;0.933333333;-0.368333333;-0.007034632;-0.021904762;-0.022803214
1292;329.09;372.03;4.65;4.65;4.6;0.91;-0.420833333;-0.008051948;-0.024047619;-0.025075989
1293;329.98;371.57;4.69;4.69;4.6;0.886666667;-0.4675;-0.007792208;-0.019047619;-0.020386807
1294;330.87;371.11;4.74;4.74;4.9;0.89;-0.454166667;-0.005454545;-0.007857143;-0.009493369
